Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
HTTP GET http://cyclon:5000/v1/hello,5795,15,1,87,27,"8,54","0,00%","96,5","24,88","264,0"
HTTP POST http://cyclon:5000/v1/exchange-view,5794,35,7,130,51,"13,34","0,00%","96,5","40,68","431,8"
TOTAL,11589,25,1,130,47,"15,30","0,00%","192,9","65,54","347,9"
