sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP GET http://cyclon:5000/v1/hello,5560,258,252,307,343,473,6,879,"0,00%","91,3","23,5","54,99"
HTTP POST http://cyclon:5000/v1/exchange-view,5533,281,272,333,370,513,15,935,"0,00%","90,8","38,3","58,64"
TOTAL,11093,269,263,323,357,500,6,935,"0,00%","182,1","61,9","58,03"
