Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
HTTP GET http://cyclon:5000/v1/hello,5604,41,7,272,63,"18,03","0,00%","93,1","24,00","264,0"
HTTP POST http://cyclon:5000/v1/exchange-view,5598,64,9,337,90,"22,25","0,00%","93,0","39,32","432,8"
TOTAL,11202,53,7,337,80,"23,29","0,00%","186,1","63,31","348,3"
