Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
HTTP Request,20000,665,3,2889,1199,"437,18","0,00%","102,2","32,20","322,5"
TOTAL,20000,665,3,2889,1199,"437,18","0,00%","102,2","32,20","322,5"
